Combined_Key,Population
"Madison, Indiana, US",129569
"Marion, Indiana, US",964582
"Marshall, Indiana, US",46258
"Martin, Indiana, US",10255
"Miami, Indiana, US",35516
"Monroe, Indiana, US",148431
"Montgomery, Indiana, US",38338
"Morgan, Indiana, US",70489
"Newton, Indiana, US",13984
"Noble, Indiana, US",47744
"Ohio, Indiana, US",5875
"Orange, Indiana, US",19646
"Owen, Indiana, US",20799
"Parke, Indiana, US",16937
"Perry, Indiana, US",19169
"Pike, Indiana, US",12389
"Porter, Indiana, US",170389
"Posey, Indiana, US",25427
"Pulaski, Indiana, US",12353
"Putnam, Indiana, US",37576
"Randolph, Indiana, US",24665
"Ripley, Indiana, US",28324
"Rush, Indiana, US",16581
"St. Joseph, Indiana, US",271826
"Scott, Indiana, US",23873
"Shelby, Indiana, US",44729
"Spencer, Indiana, US",20277
"Starke, Indiana, US",22995
"Steuben, Indiana, US",34594
"Sullivan, Indiana, US",20669
"Switzerland, Indiana, US",10751
"Tippecanoe, Indiana, US",195732
"Tipton, Indiana, US",15148
"Union, Indiana, US",7054
"Vanderburgh, Indiana, US",181451
"Vermillion, Indiana, US",15498
"Vigo, Indiana, US",107038
"Wabash, Indiana, US",30996
"Warren, Indiana, US",8265
"Warrick, Indiana, US",62998
"Washington, Indiana, US",28036
"Wayne, Indiana, US",65884
"Wells, Indiana, US",28296
"White, Indiana, US",24102
"Whitley, Indiana, US",33964
"Adair, Iowa, US",7152
"Adams, Iowa, US",3602
"Allamakee, Iowa, US",13687
"Appanoose, Iowa, US",12426
"Audubon, Iowa, US",5496
"Benton, Iowa, US",25645
"Black Hawk, Iowa, US",131228
"Boone, Iowa, US",26234
"Bremer, Iowa, US",25062
"Buchanan, Iowa, US",21175
"Buena Vista, Iowa, US",19620
"Butler, Iowa, US",14439
"Calhoun, Iowa, US",9668
"Carroll, Iowa, US",20165
"Cass, Iowa, US",12836
"Cedar, Iowa, US",18627
"Cerro Gordo, Iowa, US",42450
"Cherokee, Iowa, US",11235
"Chickasaw, Iowa, US",11933
"Clarke, Iowa, US",9395
